id,org_unit,indicator,period,deaths
8182,Baringo County,Total Perinatal Deaths,May 2025,31
8183,Baringo County,Total Perinatal Deaths,June 2025,30
8184,Baringo County,Total Perinatal Deaths,July 2025,24
8185,Baringo County,Total Perinatal Deaths,August 2025,22
8186,Baringo County,Total Perinatal Deaths,September 2025,26
8187,Baringo County,Total Perinatal Deaths,October 2025,30
8188,Baringo County,Total Perinatal Deaths,November 2025,35
8189,Baringo County,Total Perinatal Deaths,December 2025,29
8190,Baringo County,Total Perinatal Deaths,January 2026,28
8191,Baringo County,Total Perinatal Deaths,February 2026,18
8192,Baringo County,Total Perinatal Deaths,March 2026,40
8193,Baringo County,Total Perinatal Deaths,April 2026,27
8194,Bomet County,Total Perinatal Deaths,May 2025,29
8195,Bomet County,Total Perinatal Deaths,June 2025,34
8196,Bomet County,Total Perinatal Deaths,July 2025,39
8197,Bomet County,Total Perinatal Deaths,August 2025,24
8198,Bomet County,Total Perinatal Deaths,September 2025,43
8199,Bomet County,Total Perinatal Deaths,October 2025,43
8200,Bomet County,Total Perinatal Deaths,November 2025,27
8201,Bomet County,Total Perinatal Deaths,December 2025,35
8202,Bomet County,Total Perinatal Deaths,January 2026,56
8203,Bomet County,Total Perinatal Deaths,February 2026,38
8204,Bomet County,Total Perinatal Deaths,March 2026,39
8205,Bomet County,Total Perinatal Deaths,April 2026,56
8206,Bungoma County,Total Perinatal Deaths,May 2025,75
8207,Bungoma County,Total Perinatal Deaths,June 2025,76
8208,Bungoma County,Total Perinatal Deaths,July 2025,99
8209,Bungoma County,Total Perinatal Deaths,August 2025,91
8210,Bungoma County,Total Perinatal Deaths,September 2025,76
8211,Bungoma County,Total Perinatal Deaths,October 2025,74
8212,Bungoma County,Total Perinatal Deaths,November 2025,77
8213,Bungoma County,Total Perinatal Deaths,December 2025,59
8214,Bungoma County,Total Perinatal Deaths,January 2026,64
8215,Bungoma County,Total Perinatal Deaths,February 2026,70
8216,Bungoma County,Total Perinatal Deaths,March 2026,82
8217,Bungoma County,Total Perinatal Deaths,April 2026,77
8218,Busia County,Total Perinatal Deaths,May 2025,46
8219,Busia County,Total Perinatal Deaths,June 2025,30
8220,Busia County,Total Perinatal Deaths,July 2025,36
8221,Busia County,Total Perinatal Deaths,August 2025,32
8222,Busia County,Total Perinatal Deaths,September 2025,36
8223,Busia County,Total Perinatal Deaths,October 2025,66
8224,Busia County,Total Perinatal Deaths,November 2025,40
8225,Busia County,Total Perinatal Deaths,December 2025,35
8226,Busia County,Total Perinatal Deaths,January 2026,47
8227,Busia County,Total Perinatal Deaths,February 2026,32
8228,Busia County,Total Perinatal Deaths,March 2026,35
8229,Busia County,Total Perinatal Deaths,April 2026,37
8230,Elgeyo Marakwet County,Total Perinatal Deaths,May 2025,23
8231,Elgeyo Marakwet County,Total Perinatal Deaths,June 2025,12
8232,Elgeyo Marakwet County,Total Perinatal Deaths,July 2025,26
8233,Elgeyo Marakwet County,Total Perinatal Deaths,August 2025,22
8234,Elgeyo Marakwet County,Total Perinatal Deaths,September 2025,37
8235,Elgeyo Marakwet County,Total Perinatal Deaths,October 2025,26
8236,Elgeyo Marakwet County,Total Perinatal Deaths,November 2025,10
8237,Elgeyo Marakwet County,Total Perinatal Deaths,December 2025,13
8238,Elgeyo Marakwet County,Total Perinatal Deaths,January 2026,15
8239,Elgeyo Marakwet County,Total Perinatal Deaths,February 2026,15
8240,Elgeyo Marakwet County,Total Perinatal Deaths,March 2026,18
8241,Elgeyo Marakwet County,Total Perinatal Deaths,April 2026,16
8242,Embu County,Total Perinatal Deaths,May 2025,31
8243,Embu County,Total Perinatal Deaths,June 2025,31
8244,Embu County,Total Perinatal Deaths,July 2025,47
8245,Embu County,Total Perinatal Deaths,August 2025,38
8246,Embu County,Total Perinatal Deaths,September 2025,25
8247,Embu County,Total Perinatal Deaths,October 2025,39
8248,Embu County,Total Perinatal Deaths,November 2025,21
8249,Embu County,Total Perinatal Deaths,December 2025,28
8250,Embu County,Total Perinatal Deaths,January 2026,21
8251,Embu County,Total Perinatal Deaths,February 2026,24
8252,Embu County,Total Perinatal Deaths,March 2026,26
8253,Embu County,Total Perinatal Deaths,April 2026,17
8254,Garissa County,Total Perinatal Deaths,May 2025,81
8255,Garissa County,Total Perinatal Deaths,June 2025,74
8256,Garissa County,Total Perinatal Deaths,July 2025,62
8257,Garissa County,Total Perinatal Deaths,August 2025,47
8258,Garissa County,Total Perinatal Deaths,September 2025,42
8259,Garissa County,Total Perinatal Deaths,October 2025,46
8260,Garissa County,Total Perinatal Deaths,November 2025,58
8261,Garissa County,Total Perinatal Deaths,December 2025,63
8262,Garissa County,Total Perinatal Deaths,January 2026,64
8263,Garissa County,Total Perinatal Deaths,February 2026,69
8264,Garissa County,Total Perinatal Deaths,March 2026,97
8265,Garissa County,Total Perinatal Deaths,April 2026,97
8266,Homa Bay County,Total Perinatal Deaths,May 2025,43
8267,Homa Bay County,Total Perinatal Deaths,June 2025,38
8268,Homa Bay County,Total Perinatal Deaths,July 2025,42
8269,Homa Bay County,Total Perinatal Deaths,August 2025,37
8270,Homa Bay County,Total Perinatal Deaths,September 2025,51
8271,Homa Bay County,Total Perinatal Deaths,October 2025,48
8272,Homa Bay County,Total Perinatal Deaths,November 2025,43
8273,Homa Bay County,Total Perinatal Deaths,December 2025,44
8274,Homa Bay County,Total Perinatal Deaths,January 2026,56
8275,Homa Bay County,Total Perinatal Deaths,February 2026,48
8276,Homa Bay County,Total Perinatal Deaths,March 2026,38
8277,Homa Bay County,Total Perinatal Deaths,April 2026,36
8278,Isiolo County,Total Perinatal Deaths,May 2025,15
8279,Isiolo County,Total Perinatal Deaths,June 2025,7
8280,Isiolo County,Total Perinatal Deaths,July 2025,10
8281,Isiolo County,Total Perinatal Deaths,August 2025,13
8282,Isiolo County,Total Perinatal Deaths,September 2025,7
8283,Isiolo County,Total Perinatal Deaths,October 2025,11
8284,Isiolo County,Total Perinatal Deaths,November 2025,12
8285,Isiolo County,Total Perinatal Deaths,December 2025,20
8286,Isiolo County,Total Perinatal Deaths,January 2026,6
8287,Isiolo County,Total Perinatal Deaths,February 2026,16
8288,Isiolo County,Total Perinatal Deaths,March 2026,11
8289,Isiolo County,Total Perinatal Deaths,April 2026,5
8290,Kajiado County,Total Perinatal Deaths,May 2025,66
8291,Kajiado County,Total Perinatal Deaths,June 2025,75
8292,Kajiado County,Total Perinatal Deaths,July 2025,62
8293,Kajiado County,Total Perinatal Deaths,August 2025,65
8294,Kajiado County,Total Perinatal Deaths,September 2025,47
8295,Kajiado County,Total Perinatal Deaths,October 2025,65
8296,Kajiado County,Total Perinatal Deaths,November 2025,53
8297,Kajiado County,Total Perinatal Deaths,December 2025,61
8298,Kajiado County,Total Perinatal Deaths,January 2026,59
8299,Kajiado County,Total Perinatal Deaths,February 2026,41
8300,Kajiado County,Total Perinatal Deaths,March 2026,72
8301,Kajiado County,Total Perinatal Deaths,April 2026,81
8302,Kakamega County,Total Perinatal Deaths,May 2025,69
8303,Kakamega County,Total Perinatal Deaths,June 2025,75
8304,Kakamega County,Total Perinatal Deaths,July 2025,113
8305,Kakamega County,Total Perinatal Deaths,August 2025,97
8306,Kakamega County,Total Perinatal Deaths,September 2025,102
8307,Kakamega County,Total Perinatal Deaths,October 2025,104
8308,Kakamega County,Total Perinatal Deaths,November 2025,94
8309,Kakamega County,Total Perinatal Deaths,December 2025,99
8310,Kakamega County,Total Perinatal Deaths,January 2026,94
8311,Kakamega County,Total Perinatal Deaths,February 2026,97
8312,Kakamega County,Total Perinatal Deaths,March 2026,112
8313,Kakamega County,Total Perinatal Deaths,April 2026,94
8314,Kericho County,Total Perinatal Deaths,May 2025,67
8315,Kericho County,Total Perinatal Deaths,June 2025,55
8316,Kericho County,Total Perinatal Deaths,July 2025,41
8317,Kericho County,Total Perinatal Deaths,August 2025,34
8318,Kericho County,Total Perinatal Deaths,September 2025,35
8319,Kericho County,Total Perinatal Deaths,October 2025,53
8320,Kericho County,Total Perinatal Deaths,November 2025,60
8321,Kericho County,Total Perinatal Deaths,December 2025,50
8322,Kericho County,Total Perinatal Deaths,January 2026,40
8323,Kericho County,Total Perinatal Deaths,February 2026,51
8324,Kericho County,Total Perinatal Deaths,March 2026,55
8325,Kericho County,Total Perinatal Deaths,April 2026,43
8326,Kiambu County,Total Perinatal Deaths,May 2025,95
8327,Kiambu County,Total Perinatal Deaths,June 2025,90
8328,Kiambu County,Total Perinatal Deaths,July 2025,91
8329,Kiambu County,Total Perinatal Deaths,August 2025,95
8330,Kiambu County,Total Perinatal Deaths,September 2025,110
8331,Kiambu County,Total Perinatal Deaths,October 2025,96
8332,Kiambu County,Total Perinatal Deaths,November 2025,100
8333,Kiambu County,Total Perinatal Deaths,December 2025,101
8334,Kiambu County,Total Perinatal Deaths,January 2026,87
8335,Kiambu County,Total Perinatal Deaths,February 2026,91
8336,Kiambu County,Total Perinatal Deaths,March 2026,88
8337,Kiambu County,Total Perinatal Deaths,April 2026,103
8338,Kilifi County,Total Perinatal Deaths,May 2025,109
8339,Kilifi County,Total Perinatal Deaths,June 2025,104
